City,Total AQI
Eureka,36.56763925729443
Presque Isle,37.69802371541502
Vandenberg Air Force Base,42.985845505195
Londonderry,44.228219696969695
Grantsville,44.72663000785546
Bismarck,46.016949152542374
Lompoc,46.602039482285264
Cornwall,47.3109559613319
Riverton,47.44092219020173
Waco,48.79785431959345
